行号,标签,预测,判定
658,这是厨余垃圾_巴旦木。,这张图片里的是坚果垃圾。坚果属于坚果壳垃圾，坚果壳属于其他垃圾。坚果壳可以作为其他垃圾丢弃，而坚果则需要按照坚果丢弃。,0
659,这是厨余垃圾_巴旦木。,垃圾,0
660,这是厨余垃圾_巴旦木。,图片中的物品属于其他垃圾。,0
661,这是厨余垃圾_巴旦木。,图片中的物品属于可回收物。,0
662,这是厨余垃圾_巴旦木。,图中没有垃圾，只有坚果。,1
663,这是厨余垃圾_巴旦木。,这张图片里的是坚果类垃圾。,1
664,这是厨余垃圾_巴旦木。,图片中的物品属于其他垃圾。,0
665,这是厨余垃圾_巴旦木。,图中的垃圾是杏仁。,1
666,这是厨余垃圾_巴旦木。,这张图片里有坚果。坚果属于干果，不属于可回收垃圾。,1
667,这是厨余垃圾_巴旦木。,这是杏仁。杏仁是一种常见的坚果，通常来自杏树。它们通常是圆形的，外壳坚硬，内部是柔软的种子。杏仁有多种用途，包括食用和作为食品原料。,1
668,这是厨余垃圾_巴旦木。,图片中的物品是坚果，属于厨余垃圾。,1
669,这是厨余垃圾_巴旦木。,图中的垃圾是坚果。,1
670,这是厨余垃圾_巴旦木。,根据图片中的物品，它属于厨余垃圾。,0
671,这是厨余垃圾_巴旦木。,这个垃圾属于有害垃圾。,0
672,这是厨余垃圾_开心果。,图片中的物品属于其他垃圾类别。,0
673,这是厨余垃圾_普通面包。,图片中的物品属于其他垃圾类别。,0
674,这是厨余垃圾_普通面包。,这张图片里没有垃圾。,0
675,这是厨余垃圾_普通面包。,这个垃圾属于厨余垃圾。,1
676,这是厨余垃圾_普通面包。,图中没有垃圾。,0
677,这是厨余垃圾_普通面包。,这个垃圾属于厨房垃圾，包括面粉、鸡蛋、面包屑和豆腐。,1
678,这是厨余垃圾_普通面包。,这张图片里是食物垃圾。,1
679,这是厨余垃圾_普通面包。,图中的垃圾是三个圆球。,0
680,这是厨余垃圾_普通面包。,根据图片内容，这个物品属于可回收垃圾类别。,0
681,这是厨余垃圾_普通面包。,图中的垃圾是面包。,1
682,这是厨余垃圾_普通面包。,这张图片里有面包。面包属于食品垃圾。,1
683,这是厨余垃圾_普通面包。,根据图片中的描述，这个物品属于可食用垃圾。,0
684,这是厨余垃圾_普通面包。,图片中的物品属于其他垃圾。,0
685,这是厨余垃圾_普通面包。,这是一张图片，显示了两个形状像星星的面包，放在一个木制的托盘上。背景中有几本书和一个蓝色的餐巾。,1
686,这是厨余垃圾_普通面包。,这是一个木制砧板，上面放着三个法棍面包。法棍面包是一种传统的法式面包，通常由酵母发酵制成，具有酥脆的外壳和柔软的内部。,1
687,这是厨余垃圾_普通面包。,这是一张展示面包和咖啡的图片。面包上有一些配料，看起来像是烤面包，旁边还有一杯咖啡。,1
688,这是厨余垃圾_普通面包。,这个垃圾属于食品垃圾。,1
689,这是厨余垃圾_普通面包。,这张图片里有一个切成两半的面包，面包的形状看起来像是烤面包。由于面包是切成两半的，所以这张图片里有两个不同的垃圾类别：面包片和面包屑。,1
690,这是厨余垃圾_普通面包。,这张图片里有以下几种垃圾：  1. 蛋黄饼干：饼干属于垃圾食品，应该被分类为其他垃圾。 2. 面团：面团属于其他垃圾。 3. 面包：面包属于其他垃圾。  这些垃圾都可以被分类为其他垃圾。,0
691,这是厨余垃圾_普通面包。,图中的垃圾是切片面包。,1
692,这是厨余垃圾_普通面包。,图片中的物品属于其他垃圾。,0
693,这是厨余垃圾_普通面包。,图中的垃圾是面包。,1
694,这是厨余垃圾_普通面包。,这个垃圾属于厨房垃圾。,1
695,这是厨余垃圾_普通面包。,这个垃圾应该被分类为“其他垃圾”。,0
696,这是厨余垃圾_普通面包。,图片中的物品属于厨余垃圾。,1
697,这是厨余垃圾_普通面包。,这张图片里是一堆面包。根据垃圾的分类标准，面包属于餐厨垃圾。,1
698,这是厨余垃圾_普通面包。,根据图片中的物品，这个物品属于不可回收垃圾。,0
699,这是厨余垃圾_普通面包。,这个垃圾属于其他垃圾。,0
700,这是厨余垃圾_普通面包。,这张图片里的是可回收垃圾。,0
701,这是厨余垃圾_普通面包。,这是两个烤面包。,1
702,这是厨余垃圾_普通面包。,这个垃圾是食物垃圾，具体来说是面包。,1
703,这是厨余垃圾_普通面包。,这是一块面包。面包上有明显的烤痕，可能是烤箱烤制的效果。背景中还有一些蕨类植物和餐巾纸。,1
704,这是厨余垃圾_普通面包。,这个垃圾是食品废弃物。,1
705,这是厨余垃圾_普通面包。,这是三块法棍面包，上面放着一把刀。,1
706,这是厨余垃圾_普通面包。,图中没有垃圾。,0
707,这是厨余垃圾_普通面包。,这是一片烤好的面包。面包表面呈现出金黄色，表面光滑，边缘整齐。这种面包通常是在烤箱中烘烤而成的。,1
708,这是厨余垃圾_板栗。,图片中的物品属于其他垃圾类别。,0
709,这是厨余垃圾_板栗。,,0
710,这是厨余垃圾_板栗。,这张图片里的垃圾是栗子壳和栗子。,1
711,这是厨余垃圾_板栗。,图中没有垃圾。,0
712,这是厨余垃圾_板栗。,这张图片里包含的是可食用的栗子，因此，这种垃圾属于可食用垃圾。,1
713,这是厨余垃圾_板栗。,,0
714,这是厨余垃圾_板栗。,图片中的物品属于厨余垃圾。,1
715,这是厨余垃圾_板栗。,,0
716,这是厨余垃圾_板栗。,图片中的物品属于厨余垃圾。,1
717,这是厨余垃圾_板栗。,这是一个卡通插画，描绘了几个栗子。图片中有完整的栗子和一个被切开的栗子。背景中还有一些绿色的叶子。这个插画可能是用来表示栗子的形状和特征。,1
718,这是厨余垃圾_板栗。,这张图片中的垃圾属于厨余垃圾。,1
719,这是厨余垃圾_板栗。,这是板栗。,1
720,这是厨余垃圾_板栗。,图片中的物品属于可回收垃圾。,0
721,这是厨余垃圾_板栗。,这个垃圾属于可回收垃圾。,0
722,这是厨余垃圾_板栗。,这是栗子。栗子是一种常见的坚果，通常用于烤制或煮食。它们的味道丰富，口感香甜，是许多人的喜爱食品。,1
723,这是厨余垃圾_板栗。,这张图片里没有明确的垃圾分类信息，因为图片中的内容是植物的一部分，而不是垃圾。,0
724,这是厨余垃圾_板栗。,图片中的物品属于厨余垃圾类别。,1
725,这是厨余垃圾_板栗。,"这个垃圾应该被分类为""坚果""。",1
726,这是厨余垃圾_板栗。,这个垃圾是栗子，属于厨余垃圾。,1
727,这是厨余垃圾_板栗。,这张图片里有栗子，是可回收垃圾。,0
728,这是厨余垃圾_板栗。,图中的垃圾是栗子。,1
729,这是厨余垃圾_板栗。,,0
730,这是厨余垃圾_板栗。,这张图片里的垃圾是坚果壳。坚果壳通常被视为其他垃圾，因为它们通常与食品包装和垃圾分离。,0
731,这是厨余垃圾_板栗。,图片中的物品属于可回收垃圾。,0
732,这是厨余垃圾_板栗。,这是一个一堆坚果的图片。这些坚果看起来像是榛子。榛子是一种常见的坚果，通常在秋季收获。它们通常呈圆形，外壳为棕色或深色，种子为浅色。榛子被广泛用于烘焙、零食和坚果酱中。,0
733,这是厨余垃圾_板栗。,这张图片里是可食用的栗子。,1
734,这是厨余垃圾_板栗。,图片中的物品属于其他垃圾类别。,0
735,这是厨余垃圾_板栗。,,0
736,这是厨余垃圾_板栗。,这张图片里是栗子，属于可回收物。,0
737,这是厨余垃圾_板栗。,这个垃圾属于可回收垃圾。,0
738,这是厨余垃圾_果冻。,这张图片里的是塑料包装，因为塑料包装通常是用塑料制成的。塑料包装通常用于食品、饮料和其他商品的包装，以便保护商品并延长其保质期。,0
739,这是厨余垃圾_果冻。,,0
740,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾。,0
741,这是厨余垃圾_果冻。,这个垃圾属于食物垃圾。,1
742,这是厨余垃圾_果冻。,这个垃圾属于厨余垃圾。,1
743,这是厨余垃圾_果冻。,这是一张显示一个人穿着一件黑色T恤，上面写着“Believe”字样的图片。,0
744,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾类别。,0
745,这是厨余垃圾_果冻。,这张图片里的垃圾是糖果。,0
746,这是厨余垃圾_果冻。,图中的垃圾是冰块。,0
747,这是厨余垃圾_果冻。,这是一杯用塑料杯装的饮料。饮料看起来是用牛奶和一些水果片混合而成的，顶部还有一根吸管。饮料看起来像是甜点或者奶昔。,0
748,这是厨余垃圾_果冻。,根据图片内容，物品属于其他垃圾类别。,0
749,这是厨余垃圾_果冻。,这张图片里的是食物垃圾。食物垃圾是指食物加工后形成的废物，包括剩菜剩饭、骨头、果皮、菜叶、剩菜、剩饭、过期食品等。,1
750,这是厨余垃圾_果冻。,图片中的物品属于不可回收垃圾类别。,0
751,这是厨余垃圾_果冻。,这张图片里没有明显的垃圾。它展示了一块黄色的食品，可能是一种果冻或类似的甜点。,1
752,这是厨余垃圾_果冻。,这是一个甜点，看起来像是一个用彩色水果片做的果冻。具体来说，可能是用草莓、蓝莓、橙子等水果片做成的。,1
753,这是厨余垃圾_果冻。,这个垃圾属于“其他垃圾”。,0
754,这是厨余垃圾_果冻。,图片中的物品属于可回收垃圾类别。,0
755,这是厨余垃圾_果冻。,根据图片中的物品描述，它是一种毛绒玩具，因此它属于家庭废弃物。,0
756,这是厨余垃圾_果冻。,图中的垃圾是西瓜和火龙果。,0
757,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾。,0
758,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾。,0
759,这是厨余垃圾_果冻。,这是一罐果冻。果冻是一种由水果、糖和琼脂等成分制成的甜点，常用来作为甜点食用。,1
760,这是厨余垃圾_果冻。,图片中的物品属于厨余垃圾类别。,1
761,这是厨余垃圾_果冻。,图中没有垃圾。,0
762,这是厨余垃圾_果冻。,这个垃圾应该归为其他垃圾。,0
763,这是厨余垃圾_果冻。,这个垃圾属于食物垃圾。,1
764,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾。,0
765,这是厨余垃圾_果冻。,,0
766,这是厨余垃圾_果冻。,这是一杯黄色的冰淇淋，看起来非常诱人。背景中有一些模糊的灯光和建筑物。,0
767,这是厨余垃圾_果冻。,垃圾类别：食物残渣,1
768,这是厨余垃圾_果冻。,这个垃圾是一个盘子。,0
769,这是厨余垃圾_果冻。,图中没有垃圾。,0
770,这是厨余垃圾_果冻。,图中的垃圾是橘子皮。,0
771,这是厨余垃圾_果冻。,这道菜看起来像是水果沙拉，其中包含了几颗樱桃。这种食物属于垃圾食品，因为它包含过多的糖分和不健康的脂肪，对健康不利。,0
772,这是厨余垃圾_果冻。,这个垃圾应该归类为“其他垃圾”。,0
773,这是厨余垃圾_果冻。,,0
774,这是厨余垃圾_果冻。,这张图片里的垃圾是可回收物。,0
775,这是厨余垃圾_果冻。,这张图片里的是食品垃圾。,1
776,这是厨余垃圾_果冻。,这张图片中的垃圾是餐巾纸。,0
777,这是厨余垃圾_果冻。,图片中的物品属于其他垃圾。,0
778,这是厨余垃圾_果冻。,这是一碗彩色的果冻豆。果冻豆是一种甜味的软糖，通常呈圆形，表面光滑，颜色丰富，包括红色、绿色、黄色和白色等。它们通常用于糖果店、蛋糕店和甜品店。,0
779,这是厨余垃圾_果冻。,,0
780,这是厨余垃圾_果冻。,这张图片里的是玻璃杯。,0
781,这是厨余垃圾_果冻。,这张图片里有蓝莓和芒果，这些食物属于可食用垃圾。,0
782,这是厨余垃圾_果冻。,这个图片包含以下垃圾：  1. 瓶子：绿色 2. 花束：橙色 3. 蜡烛：红色 4. 蜡烛：白色 5. 蜡烛：粉色 6. 蜡烛：黄色 7. 蜡烛：白色 8. 蜡烛：粉色 9. 蜡烛：红色 10. 蜡烛：橙色 11. 蜡烛：白色 12. 蜡烛：粉色 13. 蜡烛：红色 14. 蜡烛：橙色 15. 蜡烛：白色 16. 蜡烛：粉色 17. 蜡烛：红色 18. 蜡烛：橙色 19. 蜡烛：白色 20. 蜡烛：粉色 21. 蜡烛：红色 22. 蜡烛：橙色 23. 蜡烛：白色 24. 蜡烛：粉色 25. 蜡烛：红色 26. 蜡烛：橙色 27. 蜡烛：白色 28. 蜡烛：粉色 29. 蜡烛：红色 30. 蜡烛：橙色 31. 蜡烛：白色 32. 蜡烛：粉色 33. 蜡烛：红色 34. 蜡烛：橙色 35. 蜡烛：白色 36. 蜡烛：粉色 37. 蜡烛：红色 38. 蜡烛：橙色 39. 蜡烛：白色 40. 蜡烛：粉色 41. 蜡烛：红色 42. 蜡烛：橙色 43. 蜡烛：白色 44. 蜡烛：粉色 45. 蜡烛：红色 46. 蜡烛：橙色 47. 蜡烛：白色 48. 蜡烛：粉色 49. 蜡烛：红色 50. 蜡烛：橙色 51.,0
783,这是厨余垃圾_果冻。,这个垃圾应该属于“其他垃圾”。,0
784,这是厨余垃圾_果冻。,图中的垃圾是“垃圾”,0
785,这是厨余垃圾_核桃。,这张图片里是硬木。硬木通常是指木材中硬度较大的部分，如树干、树枝等。在图像中，可以看到硬木呈现出自然的纹理和颜色，表面光滑，具有一定的硬度。,0
786,这是厨余垃圾_核桃。,这是一个陶器或瓷器制成的物体，表面有独特的雕刻图案。由于缺乏更多的背景信息，很难确定其具体用途或历史背景。它可能是一种古代工艺品，或者是某个文化和时代的代表。,0
787,这是厨余垃圾_核桃。,这是一个图片，显示了几个形状相似的物体。这些物体看起来像是由不同材料制成的，可能有纹理和表面的差异。由于缺乏上下文，很难确定它们的具体用途或类型。,0
788,这是厨余垃圾_核桃。,这个垃圾属于其他垃圾。,0
789,这是厨余垃圾_核桃。,这个垃圾属于垃圾中的废金属。,0
790,这是厨余垃圾_核桃。,这是一只手戴的佛珠。佛珠通常由小珠子组成，这些珠子在不同的排列方式下代表不同的咒语或意义。在佛教中，佛珠常被用来冥想和修行，代表了对内心的平静和净化。佛珠的颜色和材质通常与特定的宗教或文化有关。,0
791,这是厨余垃圾_核桃。,根据图片内容，这个物品属于“其它垃圾”。,0
792,这是厨余垃圾_核桃。,这张图片里是坚果壳。,1
793,这是厨余垃圾_核桃。,图中的垃圾是核桃仁。,1
794,这是厨余垃圾_核桃。,这是一种植物果实，看起来像是肉豆蔻。肉豆蔻是一种常用的中药材，具有暖胃止痛的作用。它通常以干果的形式出售，形状类似核桃，表面有明显的纹理和凹凸不平的表面。,0
795,这是厨余垃圾_核桃。,这张图片里的是珠宝，具体来说是红宝石或类似的珠子，可能用于项链或其他珠宝饰品。,0
796,这是厨余垃圾_核桃。,这张图片中的垃圾属于其他垃圾。它看起来像是一个由木头或类似材料制成的物体，而不是普通的垃圾。,0
797,这是厨余垃圾_核桃。,这张图片里的是坚果壳。坚果壳是有机垃圾，通常包括坚果壳、种子壳等。坚果壳属于不可回收垃圾。,1
798,这是厨余垃圾_核桃。,图中的垃圾是一个木雕，具体来说，它是一个具有人脸和颈部的木雕。,0
799,这是厨余垃圾_核桃。,图片中的物品属于其他垃圾类别。,0
800,这是厨余垃圾_核桃。,这个垃圾属于废品。,0
801,这是厨余垃圾_核桃。,这张图片里是核桃珠。核桃珠是一种常见的手工制作的珠子，通常由核桃壳制成。它们常用于珠宝制作和装饰。,0
802,这是厨余垃圾_核桃。,这是三个核桃，每个核桃都用绳子串起来。,1
803,这是厨余垃圾_核桃。,图中展示的是一个核桃手链。核桃是一种常见的坚果，可以食用或用于制作核桃仁。核桃手链是一种手工艺品，通常由核桃仁制成。,0
804,这是厨余垃圾_核桃。,图中的垃圾是一块雕刻成人物形状的木头，具体来说，这是一块雕刻有一个人脸的木头。,0
805,这是厨余垃圾_核桃。,这张图片里没有明显的垃圾。它展示了一只手，手腕上戴着一条棕色的木珠手链，手腕上有一只戴着红色手环的手。背景是一块白色的布。,0
806,这是厨余垃圾_核桃。,这个垃圾属于“废品”。,0
807,这是厨余垃圾_核桃。,图中的垃圾是一些小核桃。,1
808,这是厨余垃圾_核桃。,图片中的物品属于其他垃圾类别。,0
809,这是厨余垃圾_核桃。,这张图片里的垃圾属于可回收垃圾。,0
810,这是厨余垃圾_核桃。,这张图片里是一堆木珠，这些木珠可以用来制作工艺品。,0
811,这是厨余垃圾_核桃。,图片中的物品属于其他垃圾类别。,0
812,这是厨余垃圾_核桃。,这是一张展示了一只手掌中的核桃的图片。手掌中的核桃数量较多，形状和颜色与核桃相似。核桃是一种常见的坚果，通常用于烹饪或作为零食。,1
813,这是厨余垃圾_核桃。,图中没有垃圾。,0
814,这是厨余垃圾_核桃。,这是一堆核桃。核桃是一种常见的坚果，通常以壳包裹着。核桃富含营养，含有多种维生素和矿物质。,1
815,这是厨余垃圾_核桃。,这是一个由核桃壳制成的手串。核桃壳的手串通常具有独特的纹理和图案，常常被用于装饰和佩戴。核桃壳的手串不仅可以作为装饰品，还可以具有一定的文化意义和历史价值。,0
816,这是厨余垃圾_核桃。,图片中的物品属于不可回收垃圾类别。,0
817,这是厨余垃圾_核桃。,根据图片中的描述，该物品属于“珠饰品”类别。,0
818,这是厨余垃圾_核桃。,图片中的物品属于其他垃圾。,0
819,这是厨余垃圾_核桃。,这是“罗汉香”，是一种传统的香料，通常用于制作茶、咖啡、饮料和其他食品。罗汉香的香味独特，常被用来增加食品的香气和口感。,0
820,这是厨余垃圾_梨。,这张图片里是果梨，是一种水果。,1
821,这是厨余垃圾_梨。,这个垃圾应该属于可回收垃圾。,0
822,这是厨余垃圾_梨。,这是一张梨的图片。图片中显示了两个完整的梨和一个切开的梨。梨的皮呈浅黄色，表面有明显的斑点和纹理。梨子的切面清晰可见，果肉呈白色，中间有明显的种子。,1
823,这是厨余垃圾_梨。,这是梨。,1
824,这是厨余垃圾_橙子。,这个图片是一个矢量橙子的矢量图。它可能属于以下垃圾类型之一：  1. **水果垃圾**：如果这个图是橙子的矢量图，那么它属于水果垃圾。 2. **健康食品垃圾**：如果这个图是橙子的矢量图，那么它也可能属于健康食品垃圾。 3. **新鲜水果垃圾**：如果这个图是橙子的矢量图，那么它还可能属于新鲜水果垃圾。 4. **插图垃圾**：如果这个图是橙子的矢量图，那么它还可能属于插图垃圾。  具体的垃圾类型取决于图片的内容和用途。,1
825,这是厨余垃圾_橙子。,图中没有垃圾。,0
826,这是厨余垃圾_橙子。,图片中的物品属于厨余垃圾。,1
827,这是厨余垃圾_橙子。,图片中的物品属于厨余垃圾。,1
828,这是厨余垃圾_橙子。,图中的垃圾是三个橙子。,1
829,这是厨余垃圾_橙子。,这个垃圾属于厨余垃圾。,1
830,这是厨余垃圾_橙子。,图中没有垃圾。,0
831,这是厨余垃圾_橙子。,图中没有垃圾。,0
832,这是厨余垃圾_橙子。,这是一张橙子的图片。图片中展示了两个橙子的切片，一个是完整的橙子，另一个是切开的橙子。完整的橙子比较大，切开的橙子比较小。,1
833,这是厨余垃圾_橙子。,该物品属于厨余垃圾。,1
834,这是厨余垃圾_橙子。,图片中的物品属于厨余垃圾类别。,1
835,这是厨余垃圾_橙子。,橙子属于厨余垃圾。,1
836,这是厨余垃圾_橙子。,根据图片中的描述，这些物品属于其他垃圾类别。,0
837,这是厨余垃圾_残渣剩饭。,这个垃圾是食物垃圾。,1
838,这是厨余垃圾_残渣剩饭。,图中没有垃圾。,0
839,这是厨余垃圾_残渣剩饭。,这张图片里没有垃圾。,0
840,这是厨余垃圾_残渣剩饭。,这是一盘炒饭，里面有蔬菜和米饭。,1
841,这是厨余垃圾_残渣剩饭。,这张图片中的垃圾属于厨余垃圾。,1
842,这是厨余垃圾_残渣剩饭。,图中的垃圾是塑料盒和勺子。,0
843,这是厨余垃圾_残渣剩饭。,根据图片中的物品，可能是属于其他垃圾类别。,0
844,这是厨余垃圾_残渣剩饭。,图中的垃圾是一根菠萝。,1
845,这是厨余垃圾_残渣剩饭。,图片中的物品属于其他垃圾类别。,0
846,这是厨余垃圾_残渣剩饭。,这是一道融合了中式和西式烹饪手法的菜肴。具体来说，这是一道将香肠、虾仁、煎蛋等中式食材与炸薯条、炒饭等西式食材结合在一起的菜肴。这种菜肴通常会在锅中快速炒制，使食材充分融合，形成独特的口感和味道。,0
847,这是厨余垃圾_残渣剩饭。,这张图片里的食物是炒饭，是一种常见的中式炒菜，属于食物垃圾。,1
848,这是厨余垃圾_残渣剩饭。,这个垃圾属于厨余垃圾。,1
849,这是厨余垃圾_残渣剩饭。,这张图片里没有垃圾。,0
850,这是厨余垃圾_残渣剩饭。,这张图片里是可回收垃圾。,0
851,这是厨余垃圾_残渣剩饭。,这是一份炒饭，属于垃圾食品。,0
852,这是厨余垃圾_残渣剩饭。,图片中的物品属于其他垃圾。,0
853,这是厨余垃圾_残渣剩饭。,这个垃圾是食物垃圾。,1
854,这是厨余垃圾_残渣剩饭。,这张图片里没有可见的垃圾。,0
855,这是厨余垃圾_残渣剩饭。,这张图片里没有提到任何垃圾，只有炒饭。,0
856,这是厨余垃圾_残渣剩饭。,这是一道看起来非常美味的炒饭，主要食材包括米饭、鸡蛋、青豆、青菜和草莓。炒饭通常口感松软，米饭和青豆炒至微黄，鸡蛋炒至微黄，草莓和青菜炒至出水，整体味道丰富，营养丰富。,1
857,这是厨余垃圾_残渣剩饭。,图中的垃圾是绿色的塑料袋。,0
858,这是厨余垃圾_残渣剩饭。,这张图片里有一个装有食物的碗，属于餐厨垃圾。,1
859,这是厨余垃圾_残渣剩饭。,这张图片里的食物是塑料垃圾。,0
860,这是厨余垃圾_残渣剩饭。,这个垃圾是一份炒饭。,1
861,这是厨余垃圾_残渣剩饭。,这是一道炒饭，上面铺满了煮熟的肉片、切碎的葱花和炒鸡蛋，看起来非常美味。,1
862,这是厨余垃圾_残渣剩饭。,,0
863,这是厨余垃圾_残渣剩饭。,图片中的物品属于其他垃圾类别。,0
864,这是厨余垃圾_残渣剩饭。,这个垃圾属于厨余垃圾。,1
865,这是厨余垃圾_残渣剩饭。,图中的垃圾是盘子里的米饭。,1
866,这是厨余垃圾_残渣剩饭。,This is a picture of food.,1
867,这是厨余垃圾_残渣剩饭。,这个垃圾属于食物垃圾。,1
868,这是厨余垃圾_残渣剩饭。,这是一道虾仁炒饭，通常也被称为虾仁炒饭或虾仁炒饭。这道菜是由米饭、虾仁、胡萝卜、青豆和玉米等食材制成的。,1
869,这是厨余垃圾_残渣剩饭。,图中没有垃圾。,0
870,这是厨余垃圾_汉堡。,图片中的物品属于餐饮垃圾。,1
871,这是厨余垃圾_汉堡。,这个垃圾属于可回收垃圾。,0
872,这是厨余垃圾_汉堡。,这个垃圾属于餐厨垃圾。,1
873,这是厨余垃圾_汉堡。,这张图片里有塑料和玻璃。,0
874,这是厨余垃圾_汉堡。,这个垃圾是汉堡。,1
875,这是厨余垃圾_汉堡。,这是一份看起来非常美味的汉堡。汉堡由一个大面包卷组成，里面装有牛肉、融化的奶酪和番茄片。看起来这是一份非常丰盛的汉堡，适合喜欢重口味的人。,1
876,这是厨余垃圾_汉堡。,这是一份汉堡包和薯条。汉堡包的面包上有芝麻，汉堡内有肉饼、生菜、番茄、奶酪等配料，旁边有一个小碗装着薯条。,1
877,这是厨余垃圾_汉堡。,图中的垃圾是汉堡。,1
878,这是厨余垃圾_汉堡。,图中的垃圾是炸鸡。,0
879,这是厨余垃圾_汉堡。,这张图片中的垃圾是食物垃圾。,1
880,这是厨余垃圾_汉堡。,这张图片里是餐食垃圾。,1
881,这是厨余垃圾_汉堡。,这个垃圾属于食品垃圾。,1
882,这是厨余垃圾_汉堡。,图中的垃圾是汉堡包、番茄、洋葱、生菜、薯条、辣椒酱和番茄酱。,1
883,这是厨余垃圾_汉堡。,这是一份三明治和薯条的组合。三明治里面有汉堡、肉饼、奶酪和蔬菜，旁边是炸薯条。,1
884,这是厨余垃圾_汉堡。,图中的垃圾是汉堡。,1
885,这是厨余垃圾_汉堡。,图中的垃圾是薯条。,0
886,这是厨余垃圾_汉堡。,图中的垃圾是汉堡。,1
887,这是厨余垃圾_汉堡。,图片中的物品属于可回收垃圾类别。,0
888,这是厨余垃圾_汉堡。,图片中的物品属于食物垃圾类别。,1
889,这是厨余垃圾_汉堡。,这个图是一个汉堡，所以它属于食物垃圾。,1
890,这是厨余垃圾_汉堡。,,0
891,这是厨余垃圾_汉堡。,图中的垃圾是三明治。,1
892,这是厨余垃圾_汉堡。,这张图片里的是“垃圾食品”垃圾。,0
893,这是厨余垃圾_汉堡。,图中的垃圾是汉堡和可乐。,0
894,这是厨余垃圾_汉堡。,这张图片里是一个汉堡，上面放了意大利面、生菜和番茄酱。由于汉堡里有意大利面，所以它可能是混合垃圾。,1
895,这是厨余垃圾_汉堡。,这张图片里有垃圾。,0
896,这是厨余垃圾_汉堡。,这张图片里没有垃圾。,0
897,这是厨余垃圾_汉堡。,这是一张图片，显示了一种叫做“The Kansas City”的汉堡。汉堡上有炸薯条、火腿、洋葱、培根、沙拉和奶酪。汉堡上有一个标签，上面写着“Wisconsin Smoked Gouda”，这表明这是一款包含奶酪的汉堡。汉堡的顶部有一个美国地图的剪影，上面有一个红色的星星，表示这是美国的产品。,1
898,这是厨余垃圾_汉堡。,这张图片里没有垃圾。图片中展示的是三个汉堡，放在木板上。,1
899,这是厨余垃圾_汉堡。,这是一份汉堡。,1
900,这是厨余垃圾_汉堡。,图中的垃圾是汉堡和薯条。,1
901,这是厨余垃圾_汉堡。,图片中的物品属于食物垃圾类别。,1
902,这是厨余垃圾_汉堡。,图中没有垃圾。,0
903,这是厨余垃圾_火龙果。,这张图片中的垃圾是红色的水果，看起来像是火龙果。它不属于垃圾，因为它是一种健康的水果。,0
904,这是厨余垃圾_火龙果。,图中的垃圾是一片红色的火龙果皮。,1
905,这是厨余垃圾_火龙果。,图中的垃圾是一片火龙果。,1
906,这是厨余垃圾_火龙果。,这是一个装有火龙果的碗，火龙果是一种紫色的热带水果，果肉甜美多汁，富含营养。火龙果富含维生素C和膳食纤维，常吃对身体健康有益。,1
907,这是厨余垃圾_火龙果。,图片中的物品属于其他垃圾类别。,0
908,这是厨余垃圾_火龙果。,图片中的物品属于其他垃圾类别。,0
909,这是厨余垃圾_火龙果。,这个垃圾应该归为“水果”类别。,1
910,这是厨余垃圾_火龙果。,这张图片里是水果垃圾。,1
911,这是厨余垃圾_火龙果。,图中的垃圾是泡菜。,0
912,这是厨余垃圾_火龙果。,图片中的物品属于厨余垃圾类别。,1
913,这是厨余垃圾_火龙果。,这张图片里的是可回收物。,0
914,这是厨余垃圾_火龙果。,图中的垃圾是火龙果。,1
915,这是厨余垃圾_火龙果。,这张图片里有红色的火龙果皮。火龙果皮属于其他垃圾。,0
916,这是厨余垃圾_火龙果。,这个垃圾属于食品垃圾。,1
917,这是厨余垃圾_火龙果。,这张图片里没有明显的垃圾，看起来像是切开的火龙果。火龙果是一种热带水果，通常以红色或紫色的外皮和白色的果肉为特点。,1
918,这是厨余垃圾_火龙果。,这张图片中的水果是火龙果。火龙果是一种红色的水果，通常有黑色的种子。图片中的火龙果已经被切成片，展示出其鲜艳的颜色和细腻的质感。火龙果富含营养，含有丰富的维生素和矿物质，是一种非常受欢迎的水果。,1
919,这是厨余垃圾_火龙果。,这是一张火龙果的照片。火龙果是一种热带水果，外皮呈红色或紫色，果肉多汁，口感甜爽，常见于热带地区。,1
920,这是厨余垃圾_火龙果。,这是一张火龙果切片的图片。火龙果是一种热带水果，果肉多汁，含有丰富的营养成分，常见于亚洲地区。图片中展示了火龙果的果肉切块，呈现出鲜艳的红色和黑色籽粒。火龙果不仅美味，还富含维生素和矿物质，是一种健康且美味的水果。,1
921,这是厨余垃圾_火龙果。,这张图片里没有垃圾。,0
922,这是厨余垃圾_火龙果。,这是火龙果。火龙果是一种多汁的水果，通常呈红色或紫色，含有丰富的维生素和矿物质。它通常被切成片或块状，可以生食或作为甜点食用。,1
923,这是厨余垃圾_火龙果。,这张图片中的垃圾是塑料垃圾。塑料垃圾通常是由塑料制品（如塑料袋、塑料瓶等）制成的废弃物。,0
924,这是厨余垃圾_火龙果。,图中没有垃圾，是一张火龙果的图片。,0
925,这是厨余垃圾_火龙果。,这张图片里没有垃圾。,0
