行号,预测,标签
462,图中展示的物品是[food]，根据垃圾分类的标准，应该属于[food],"图中展示的物品是叉子,根据垃圾分类的标准，应该属于可回收物
"
463,图中展示的物品是锅盖，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是锅盖,根据垃圾分类的标准，应该属于可回收物
"
464,图中展示的物品是灯，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
465,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
466,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾
"
467,图中展示的物品是[玻璃]，根据垃圾分类的标准，应该属于[其他],"图中展示的物品是水杯,根据垃圾分类的标准，应该属于可回收物
"
468,图中展示的物品是ram，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物
"
469,图中展示的物品是泡菜，根据垃圾分类的标准，应该属于垃圾食品。,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
470,"图中展示的物品是公交卡,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是卡,根据垃圾分类的标准，应该属于可回收物
"
471,图中展示的物品是袜子，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
472,图中展示的物品是塑料袋，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
473,图中展示的物品是塑料碗，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是塑料盆,根据垃圾分类的标准，应该属于可回收物
"
474,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是水杯,根据垃圾分类的标准，应该属于可回收物
"
475,"图中展示的物品是[灯泡],根据垃圾分类的标准，应该属于[其他垃圾]","图中展示的物品是空气加湿器,根据垃圾分类的标准，应该属于可回收物
"
476,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾
"
477,图中展示的物品是包装袋，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
478,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
479,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物
"
480,图中展示的物品是大白菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
481,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
482,图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
483,图中展示的物品是{bamboo_stick}，根据垃圾分类的标准，应该属于{recyclable}。,"图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾
"
484,图中展示的物品是{glass}，根据垃圾分类的标准，应该属于{glass},"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
485,"遥控器{garbage_object},垃圾类型：电子废弃物","图中展示的物品是电视遥控器,根据垃圾分类的标准，应该属于可回收物
"
486,图中展示的物品是{food_item}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
487,图中展示的物品是垃圾袋，根据垃圾分类的标准，应该属于垃圾袋,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
488,图中展示的物品是饼干，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
489,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
490,图中展示的物品是毛绒玩具，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
491,图中展示的物品是玻璃瓶,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物
"
492,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
493,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
494,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
495,图中展示的物品是白菜，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
496,图中展示的物品是{cardboard_box}，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
497,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
498,"图中展示的物品是{lighting_product},根据垃圾分类的标准，应该属于{recyclable}","图中展示的物品是LED灯泡,根据垃圾分类的标准，应该属于有害垃圾
"
499,图中展示的物品是手表，根据垃圾分类的标准，应该属于废金属,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
500,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
501,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
502,图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
503,图中展示的物品是[bread]，根据垃圾分类的标准，应该属于[食品],"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
504,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是橙子,根据垃圾分类的标准，应该属于厨余垃圾
"
505,图中展示的物品是球拍，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是乒乓球拍,根据垃圾分类的标准，应该属于可回收物
"
506,图中展示的物品是{pill}，根据垃圾分类的标准，应该属于{waste_paper},"图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾
"
507,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
508,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
509,图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾
"
510,图中展示的物品是纸牌，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是纸牌,根据垃圾分类的标准，应该属于可回收物
"
511,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
512,图中展示的物品是信件，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物
"
513,"图中展示的物品是{blanket_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
514,图中展示的物品是墨水盒，根据垃圾分类的标准，应该属于废品,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
515,图中展示的物品是牙刷，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是牙刷,根据垃圾分类的标准，应该属于其他垃圾
"
516,图中展示的物品是铲子，根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。,"图中展示的物品是打气筒,根据垃圾分类的标准，应该属于可回收物
"
517,"图中展示的物品是玻璃杯,根据垃圾分类的标准，应该属于玻璃","图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物
"
518,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是八宝粥罐,根据垃圾分类的标准，应该属于可回收物
"
519,"图中展示的物品是瓶子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
520,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾
"
521,图中展示的物品是灯管，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是玻璃灯管,根据垃圾分类的标准，应该属于有害垃圾
"
522,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾
"
523,图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾
"
524,图中展示的物品是[蔬菜]，根据垃圾分类的标准，应该属于[其他垃圾]。,"图中展示的物品是甘蔗,根据垃圾分类的标准，应该属于厨余垃圾
"
525,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
526,图中展示的物品是太阳镜，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是眼镜,根据垃圾分类的标准，应该属于其他垃圾
"
527,图中展示的物品是金属，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
528,"图中展示的物品是[banana],根据垃圾分类的标准，应该属于[food]","图中展示的物品是菠萝蜜,根据垃圾分类的标准，应该属于厨余垃圾
"
529,图中展示的物品是[computer]，根据垃圾分类的标准，应该属于[电子垃圾],"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物
"
530,"图中展示的物品是{hairbrush_object},根据垃圾分类的标准，应该属于{trash}","图中展示的物品是电动卷发棒,根据垃圾分类的标准，应该属于可回收物
"
531,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物
"
532,图中展示的物品是坚果，根据垃圾分类的标准，应该属于坚果/干果,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾
"
533,图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
534,图中展示的物品是闹钟，根据垃圾分类的标准，应该属于{garbage_type}废金属。,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
535,图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子垃圾,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物
"
536,图中展示的物品是麦克风，根据垃圾分类的标准，应该属于垃圾型。,"图中展示的物品是话筒,根据垃圾分类的标准，应该属于可回收物
"
537,图中展示的物品是{garbage_object}，根据垃圾分类的标准，应该属于{garbage_type}其他垃圾。,"图中展示的物品是奶粉罐,根据垃圾分类的标准，应该属于可回收物
"
538,图中展示的物品是塑料碗，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是塑料盆,根据垃圾分类的标准，应该属于可回收物
"
539,图中展示的物品是[金属物品]，根据垃圾分类的标准，应该属于[金属类]。,"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
540,图中展示的物品是{remote_control}，根据垃圾分类的标准，应该属于{电子废弃物},"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物
"
541,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物
"
542,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
543,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
544,图中展示的物品是罐头，根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾,"图中展示的物品是八宝粥罐,根据垃圾分类的标准，应该属于可回收物
"
545,图中展示的物品是瓷器，根据垃圾分类的标准，应该属于垃圾中的金属制品。,"图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物
"
546,图中展示的物品是[fruit]，根据垃圾分类的标准，应该属于[fruit],"图中展示的物品是火龙果,根据垃圾分类的标准，应该属于厨余垃圾
"
547,图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
548,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
549,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物
"
550,图中展示的物品是草莓，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是草莓,根据垃圾分类的标准，应该属于厨余垃圾
"
551,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物","图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物
"
552,图中展示的物品是{medicine_bottle}，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是塑料瓶,根据垃圾分类的标准，应该属于可回收物
"
553,"图中展示的物品是花瓶,根据垃圾分类的标准，应该属于废品","图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物
"
554,"图中展示的物品是[栗子],根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾
"
555,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是胡萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
556,"图中展示的物品是[metal],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
557,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
558,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物
"
559,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
560,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
561,"图中展示的物品是[iron],[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是电熨斗,根据垃圾分类的标准，应该属于可回收物
"
562,图中展示的物品是板蓝根颗粒，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
563,图中展示的物品是袜子，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
564,图中展示的物品是毛巾，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
565,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
566,图中展示的物品是键盘，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物
"
567,"图中展示的物品是[phone removed],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物
"
568,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾
"
569,"图中展示的物品是[garbage_object], 根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
570,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
571,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是手链,根据垃圾分类的标准，应该属于可回收物
"
572,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是收音机,根据垃圾分类的标准，应该属于可回收物
"
573,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
574,图中展示的物品是香肠，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
575,图中展示的物品是玻璃制品，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物
"
576,"垃圾物品: 薯条
垃圾类型: 食物","图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾
"
577,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物
"
578,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾
"
579,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾
"
580,图中展示的物品是无线电设备，根据垃圾分类的标准，应该属于电子垃圾,"图中展示的物品是收音机,根据垃圾分类的标准，应该属于可回收物
"
581,图中展示的物品是纸袋，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
582,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是水杯,根据垃圾分类的标准，应该属于可回收物
"
583,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
584,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
585,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
586,图中展示的物品是电池，属于有害垃圾,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
587,图中展示的物品是火车票，根据垃圾分类的标准，应该属于废纸,"图中展示的物品是票据,根据垃圾分类的标准，应该属于其他垃圾
"
588,图中展示的物品是{grass}，根据垃圾分类的标准，应该属于{grass},"图中展示的物品是茶叶,根据垃圾分类的标准，应该属于厨余垃圾
"
589,图中展示的物品是汉堡，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾
"
590,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
591,"图中展示的物品是[handbag],[garbage],[garbage]，根据垃圾分类的标准，应该属于[recycle],[trash],[trash]","图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
592,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
593,图中展示的物品是空调遥控器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物
"
594,图中展示的物品是纸杯，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是一次性杯子,根据垃圾分类的标准，应该属于其他垃圾
"
595,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物
"
596,图中展示的物品是垃圾食品，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
597,图中展示的物品是台灯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
598,图中展示的物品是{electric_shaver}，根据垃圾分类的标准，应该属于{electronic},"图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物
"
599,图中展示的物品是塑料袋，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
600,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
601,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
602,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是大龙虾头,根据垃圾分类的标准，应该属于其他垃圾
"
603,图中展示的物品是磁铁，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是纸牌,根据垃圾分类的标准，应该属于可回收物
"
604,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是冰糖葫芦,根据垃圾分类的标准，应该属于厨余垃圾
"
605,图中展示的物品是卡片，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物
"
606,"图中展示的物品是[record],根据垃圾分类的标准，应该属于[record垃圾]","图中展示的物品是唱片,根据垃圾分类的标准，应该属于其他垃圾
"
607,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾
"
608,图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
609,图中展示的物品是袜子，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
610,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
611,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
612,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[wood]","图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
613,图中展示的物品是{orange}，根据垃圾分类的标准，应该属于{fruit},"图中展示的物品是橙子,根据垃圾分类的标准，应该属于厨余垃圾
"
614,图中展示的物品是糕点，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
615,图中展示的物品是卫生纸，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾
"
616,图中展示的物品是废纸，根据垃圾分类的标准，应该属于废纸,"图中展示的物品是便利贴,根据垃圾分类的标准，应该属于其他垃圾
"
617,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
618,图中展示的物品是火车票，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是票据,根据垃圾分类的标准，应该属于其他垃圾
"
619,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
620,图中展示的物品是羽毛掸子，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
621,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},"图中展示的物品是菠萝蜜,根据垃圾分类的标准，应该属于厨余垃圾
"
622,图中展示的物品是罐头盖，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是奶粉罐铝盖,根据垃圾分类的标准，应该属于可回收物
"
623,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
624,图中展示的物品是香肠，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
625,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
626,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
627,图中展示的物品是拖鞋，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
628,图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
629,图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾
"
630,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
631,"图中展示的物品是[spoon],根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物
"
632,图中展示的物品是菠萝，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是菠萝,根据垃圾分类的标准，应该属于厨余垃圾
"
633,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物。","图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物
"
634,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物
"
635,图中展示的物品是餐巾纸，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
636,图中展示的物品是纸制品，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是胶带,根据垃圾分类的标准，应该属于其他垃圾
"
637,图中展示的物品是线缆，根据垃圾分类的标准，应该属于{有害垃圾},"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
638,图中展示的物品是食物，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
639,图中展示的物品是花瓶，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
640,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是望远镜,根据垃圾分类的标准，应该属于可回收物
"
